Soil Moisture,Temperature,Soil Humidity,Time,Air temperature (C),Air humidity (%),Status
54,22,70,21,19.52,55.04,ON
12,20,40,104,19.49,55.17,OFF
34,26,35,62,19.47,55.3,ON
7,44,44,93,19.54,54.2,OFF
50,38,23,92,19.61,53.09,OFF
4,26,52,6,19.67,51.91,ON
15,34,58,82,19.74,50.72,ON
45,30,43,85,19.8,49.54,ON
47,4,42,2,19.91,47.7,OFF
19,41,22,0,20.02,45.86,ON
63,44,65,75,20.1,44.76,ON
88,34,41,71,20.19,43.67,ON
39,20,70,82,20.3,42.56,ON
65,43,44,93,20.41,41.44,OFF
50,27,50,4,20.41,41.58,ON
39,22,48,80,20.41,41.71,ON
18,33,44,74,20.61,40.34,ON
66,43,35,64,20.81,38.96,ON
68,25,59,3,20.93,37.33,ON
20,36,53,74,21.06,35.69,ON
40,17,35,70,21.18,34.06,ON
2,34,64,101,21.3,32.42,OFF
22,35,32,109,21.35,31.07,OFF
1,19,70,56,21.4,29.72,ON
5,23,27,4,21.44,28.38,ON
10,28,30,75,21.49,27.03,ON
25,13,66,50,21.56,26.62,ON
20,45,61,83,21.62,26.22,ON
40,29,39,98,21.66,25.72,OFF
26,13,70,71,21.69,25.21,ON
71,6,59,88,21.48,25.8,OFF
37,21,24,22,21.28,26.39,ON
76,12,47,51,21.3,25.53,OFF
44,24,45,82,21.32,24.67,ON
24,8,47,38,21.28,24.32,OFF
70,6,63,90,21.24,23.96,OFF
32,23,28,84,21.2,23.81,OFF
44,24,39,77,21.16,23.66,ON
4,45,49,32,21.13,23.5,ON
63,40,48,89,21.09,23.35,ON
49,29,55,4,21.1,23.09,ON
26,32,70,73,21.11,22.84,ON
58,32,38,91,21.12,22.58,OFF
45,0,69,87,21.13,22.32,OFF
37,7,32,76,20.94,22.58,ON
16,44,57,93,20.76,22.83,OFF
75,2,31,96,20.56,23.4,OFF
82,16,62,33,20.36,23.97,OFF
72,28,21,92,20.15,24.54,OFF
53,1,51,32,19.95,25.11,OFF
13,24,48,17,19.71,26.29,OFF
41,18,34,86,19.47,27.47,ON
53,2,30,64,19.32,27.99,OFF
76,14,48,58,19.18,28.51,OFF
9,36,37,96,19.21,28.64,OFF
66,1,56,106,19.24,28.77,OFF
12,16,25,94,19.17,29.56,OFF
29,10,67,50,19.1,30.36,ON
37,34,57,2,19.02,31.01,ON
8,28,67,10,18.93,31.66,ON
55,1,68,37,18.74,31.96,ON
9,1,32,101,18.55,32.25,OFF
41,27,23,63,18.63,31.86,ON
31,8,33,43,18.71,31.47,ON
80,38,52,12,18.87,30.63,OFF
7,27,59,107,19.03,29.79,OFF
13,4,41,23,19.02,29.64,ON
42,18,36,39,19,29.5,ON
72,21,26,63,19.04,29.16,OFF
21,33,21,5,19.07,28.81,ON
14,4,51,28,19.11,28.47,ON
16,19,51,40,19.11,28.2,ON
11,9,26,104,19.1,27.92,OFF
7,17,52,17,19.1,27.65,OFF
56,3,64,90,19.1,27.38,ON
42,19,55,11,18.87,27.66,ON
78,41,70,62,18.64,27.93,ON
16,37,48,48,18.48,28.11,ON
87,14,21,86,18.31,28.29,OFF
22,22,55,94,18.46,27.32,OFF
77,41,47,89,18.62,26.36,ON
45,31,65,15,18.72,25.4,ON
84,39,50,21,18.81,24.45,OFF
12,3,43,34,19.04,23.14,ON
17,40,57,5,19.27,21.83,ON
12,35,34,1,19.36,21.06,ON
6,40,44,92,19.45,20.29,OFF
21,4,48,39,19.42,20.58,ON
71,41,49,11,19.38,20.88,OFF
17,27,40,15,19.33,21.33,ON
67,24,31,79,19.28,21.78,OFF
34,24,63,84,19.24,22.22,OFF
68,13,57,105,19.19,22.67,OFF
52,3,35,0,19.26,22.7,OFF
80,18,24,59,19.32,22.74,OFF
11,11,29,7,19.6,22.42,ON
63,27,26,22,19.89,22.11,OFF
88,43,58,86,20.28,22.04,ON
79,21,58,71,20.68,21.97,OFF
2,37,30,28,21.21,21.44,ON
49,33,61,72,21.74,20.9,ON
64,27,58,94,22.44,20.58,OFF
71,36,25,68,23.13,20.27,ON
51,27,66,89,23.76,19.5,ON
67,26,60,25,24.4,18.73,OFF
12,0,63,2,25.04,17.96,OFF
67,3,44,95,25.67,17.2,OFF
54,31,49,88,26.3,16.43,ON
49,33,31,86,26.94,15.66,ON
24,29,34,36,27.38,14.2,ON
27,18,38,21,27.83,12.75,ON
50,35,20,18,28.14,12.24,ON
51,26,32,4,28.46,11.74,ON
38,26,34,16,28.94,11.29,ON
23,45,50,106,29.42,10.84,OFF
27,29,60,88,29.82,10.43,ON
72,39,21,87,30.22,10.02,ON
89,19,38,18,30.54,9.84,OFF
36,28,55,36,30.86,9.65,ON
4,5,45,63,31.27,9.33,ON
21,37,48,32,31.69,9.01,ON
8,37,58,103,32.1,8.7,OFF
5,27,28,22,32.51,8.38,ON
1,10,56,67,32.93,8.06,ON
2,40,43,36,33.34,7.74,ON
63,35,30,106,33.28,7.15,OFF
17,39,38,18,33.23,6.56,ON
33,19,26,103,33.62,6.36,OFF
21,6,67,74,34.01,6.17,ON
84,29,36,41,34.36,5.97,ON
35,28,23,73,34.71,5.77,ON
81,4,35,21,35.04,5.66,OFF
44,41,22,6,35.37,5.56,ON
53,6,68,73,35.04,5.48,ON
25,18,66,21,34.71,5.41,ON
22,28,38,40,35.13,5.28,ON
57,44,44,25,35.55,5.14,ON
15,25,67,57,35.55,5.13,ON
33,23,25,93,35.55,5.12,OFF
20,25,54,28,36,4.88,OFF
52,13,62,105,36.46,4.64,OFF
47,2,56,80,36.39,4.66,OFF
63,40,63,25,36.33,4.69,OFF
48,11,21,69,36.33,4.48,OFF
15,34,31,57,36.32,4.28,ON
87,37,37,52,36.32,4.07,ON
30,27,70,28,36.31,3.86,ON
89,31,69,3,36.53,3.92,OFF
28,1,42,71,36.76,3.97,OFF
87,1,52,32,37.06,3.88,OFF
41,23,67,5,37.36,3.8,ON
58,42,68,21,37.69,3.72,ON
73,10,23,21,38.02,3.65,OFF
84,2,57,62,37.6,3.51,OFF
90,19,64,55,37.17,3.38,ON
90,44,44,30,36.66,3.75,OFF
29,35,34,76,36.15,4.12,ON
65,5,35,13,35.44,4.32,OFF
70,0,37,3,34.72,4.53,OFF
70,32,51,62,34.78,4.85,ON
6,8,59,109,34.85,5.17,OFF
86,1,50,92,34.93,4.87,OFF
90,17,22,11,35.01,4.57,OFF
22,32,67,34,35.45,4.49,ON
7,24,35,56,35.89,4.4,ON
73,32,48,106,36.3,3.99,OFF
78,23,29,106,36.71,3.57,OFF
26,26,22,54,36.77,3.71,ON
2,28,70,106,36.83,3.85,OFF
48,5,34,44,36.7,3.97,ON
31,45,67,79,36.56,4.09,ON
4,7,56,78,36.36,4.35,ON
71,22,64,21,36.15,4.61,OFF
74,6,47,73,36.2,4.62,OFF
58,20,31,67,36.25,4.63,OFF
76,3,70,78,36.12,4.7,OFF
78,36,44,99,36,4.77,OFF
5,14,41,88,35.88,4.84,ON
8,32,38,110,35.75,4.91,OFF
31,6,40,94,35.59,4.59,OFF
30,34,53,78,35.43,4.27,ON
58,25,37,27,35.48,4.22,ON
28,9,66,19,35.52,4.17,ON
19,16,32,22,35.52,4.06,OFF
26,15,45,84,35.52,3.96,ON
51,37,65,10,35.42,3.88,ON
4,45,67,110,35.33,3.8,OFF
80,25,63,19,35.24,3.98,OFF
68,24,45,17,35.15,4.17,OFF
8,9,41,16,35.34,4.12,OFF
53,35,21,75,35.52,4.06,ON
79,32,66,19,35.53,3.96,OFF
68,5,63,10,35.55,3.87,OFF
76,37,59,32,35.4,3.7,OFF
34,18,38,49,35.25,3.53,ON
28,0,66,10,35.35,3.34,OFF
62,36,25,4,35.24,2.96,ON
88,27,54,63,35.13,2.58,ON
1,23,39,66,35.03,2.74,ON
25,0,48,14,34.92,2.9,OFF
40,2,46,30,34.83,2.88,ON
77,22,58,100,34.73,2.86,OFF
66,22,48,87,34.74,2.99,ON
52,21,36,8,34.76,3.12,ON
84,34,37,98,34.7,3.08,OFF
26,7,39,21,34.63,3.05,ON
38,34,40,34,34.56,3.1,ON
48,24,68,19,34.49,3.16,ON
12,20,43,108,34.48,3.52,OFF
51,0,46,2,34.46,3.87,OFF
83,26,36,86,34.26,3.7,ON
64,3,57,84,34.07,3.52,OFF
35,10,69,15,33.83,3.5,ON
81,17,53,17,33.58,3.48,OFF
47,15,28,107,33.44,3.6,OFF
18,40,38,32,33.31,3.72,ON
54,40,39,44,33.13,3.88,ON
60,18,43,42,32.95,4.05,ON
20,38,63,21,32.82,4.17,ON
39,16,20,82,32.69,4.29,OFF
19,17,51,5,32.64,4.14,ON
61,16,50,84,32.59,3.98,OFF
40,28,52,9,32.45,3.94,ON
37,4,30,69,32.3,3.9,OFF
61,14,61,83,32.16,3.86,OFF
70,8,43,44,32.02,3.82,OFF
40,43,68,20,31.87,3.78,ON
84,6,33,57,31.73,3.74,ON
60,30,58,79,31.54,3.86,ON
5,29,37,92,31.34,3.99,OFF
8,25,66,66,31.15,4.12,ON
58,44,52,23,30.96,4.24,ON
1,27,69,69,30.75,4.5,ON
65,7,35,108,30.54,4.75,OFF
50,35,65,109,30.44,4.79,OFF
2,15,65,94,30.35,4.83,OFF
28,17,57,19,30.13,5.22,OFF
56,13,43,81,29.91,5.61,ON
35,29,55,101,29.58,6.22,OFF
16,8,57,58,29.24,6.82,ON
90,7,62,4,29.03,7.38,OFF
33,44,29,31,28.83,7.93,ON
40,38,58,32,28.68,8.25,ON
75,15,56,51,28.54,8.56,OFF
43,41,51,87,28.34,9.15,ON
87,15,54,47,28.14,9.74,OFF
90,44,29,35,28.22,9.64,OFF
67,27,30,9,28.3,9.54,ON
83,24,46,59,28.09,10.34,ON
85,12,41,55,27.88,11.15,ON
62,23,47,22,27.74,11.73,OFF
88,38,46,101,27.61,12.3,OFF
10,30,70,61,27.38,13.09,ON
20,39,50,97,27.16,13.88,OFF
62,12,51,36,26.84,14.36,OFF
50,26,28,102,26.52,14.83,OFF
35,45,64,11,26.29,14.93,ON
83,20,53,49,26.06,15.04,OFF
5,0,61,2,25.94,15.08,OFF
27,12,57,99,25.81,15.12,OFF
34,21,37,48,25.73,15.58,ON
32,3,58,4,25.65,16.05,OFF
30,28,31,91,25.59,16.13,OFF
63,8,20,60,25.53,16.22,OFF
61,20,54,96,25.51,15.56,OFF
60,36,22,40,25.49,14.89,ON
54,24,41,55,25.63,14.34,ON
71,26,24,4,25.77,13.78,OFF
14,45,54,89,25.8,13.56,ON
39,15,21,26,25.82,13.34,ON
40,37,62,36,25.74,13.36,ON
50,1,41,99,25.65,13.38,OFF
73,9,34,100,25.64,13.32,OFF
37,41,34,73,25.62,13.25,ON
43,0,66,69,25.38,14.4,OFF
